Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.91     0.00        1     0.00     0.00  __easy_netcdf_MOD_double_precision
  0.00      1.91     0.00        1     0.00     0.00  __easy_netcdf_MOD_get_real_scalar
  0.00      1.91     0.00        1     0.00     0.00  __easy_netcdf_MOD_permute_3d_arrays
  0.00      1.91     0.00        1     0.00     0.00  __easy_netcdf_MOD_put_global_attribute
  0.00      1.91     0.00        1     0.00     0.00  __easy_netcdf_MOD_put_global_attributes
  0.00      1.91     0.00        1     0.00     0.00  __ecrad_driver_config_MOD_read_config_from_namelist
  0.00      1.91     0.00        1     0.00     0.00  __ecrad_driver_read_input_MOD_read_input
  0.00      1.91     0.00        1     0.00     0.00  __radiation_aerosol_MOD_out_of_physical_bounds
  0.00      1.91     0.00        1     0.00     0.00  __radiation_aerosol_optics_MOD_setup_aerosol_optics
  0.00      1.91     0.00        1     0.00     0.00  __radiation_aerosol_optics_data_MOD_initialize_types
  0.00      1.91     0.00        1     0.00     0.00  __radiation_aerosol_optics_data_MOD_print_description
  0.00      1.91     0.00        1     0.00     0.00  __radiation_aerosol_optics_data_MOD_set_types
  0.00      1.91     0.00        1     0.00     0.00  __radiation_aerosol_optics_data_MOD_setup_aerosol_optics
  0.00      1.91     0.00        1     0.00     0.00  __radiation_cloud_MOD_create_fractional_std
  0.00      1.91     0.00        1     0.00     0.00  __radiation_cloud_MOD_out_of_physical_bounds
  0.00      1.91     0.00        1     0.00     0.00  __radiation_cloud_optics_MOD_setup_cloud_optics
  0.00      1.91     0.00        1     0.00     0.00  __radiation_cloud_optics_data_MOD_setup_cloud_optics
  0.00      1.91     0.00        1     0.00     0.00  __radiation_config_MOD_consolidate_config
  0.00      1.91     0.00        1     0.00     0.00  __radiation_config_MOD_consolidate_lw_emiss_intervals
  0.00      1.91     0.00        1     0.00     0.00  __radiation_config_MOD_consolidate_sw_albedo_intervals
  0.00      1.91     0.00        1     0.00     0.00  __radiation_config_MOD_print_config
  0.00      1.91     0.00        1     0.00     0.00  __radiation_config_MOD_read_config_from_namelist
  0.00      1.91     0.00        1     0.00     0.00  __radiation_flux_MOD_allocate_flux_type
  0.00      1.91     0.00        1     0.00     0.00  __radiation_flux_MOD_out_of_physical_bounds
  0.00      1.91     0.00        1     0.00     0.00  __radiation_gas_MOD_allocate_gas
  0.00      1.91     0.00        1     0.00     0.00  __radiation_gas_MOD_deallocate_gas
  0.00      1.91     0.00        1     0.00     0.00  __radiation_gas_MOD_out_of_physical_bounds
  0.00      1.91     0.00        1     0.00     0.00  __radiation_gas_MOD_put_well_mixed_gas
  0.00      1.91     0.00        1     0.00     0.00  __radiation_gas_MOD_set_units_gas
  0.00      1.91     0.00        1     0.00     0.00  __radiation_ifs_rrtm_MOD_set_gas_units
  0.00      1.91     0.00        1     0.00     0.00  __radiation_ifs_rrtm_MOD_setup_gas_optics
  0.00      1.91     0.00        1     0.00     0.00  __radiation_interface_MOD_set_gas_units
  0.00      1.91     0.00        1     0.00     0.00  __radiation_interface_MOD_setup_radiation
  0.00      1.91     0.00        1     0.00     0.00  __radiation_save_MOD_save_fluxes
  0.00      1.91     0.00        1     0.00     0.00  __radiation_single_level_MOD_init_seed_simple
  0.00      1.91     0.00        1     0.00     0.00  __radiation_single_level_MOD_out_of_physical_bounds
  0.00      1.91     0.00        1     0.00     0.00  __radiation_thermodynamics_MOD_calc_saturation_wrt_liquid
  0.00      1.91     0.00        1     0.00     0.00  __radiation_thermodynamics_MOD_out_of_physical_bounds
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb10_
  0.00      1.91     0.00        1     0.00     0.00  rrtm_cmbgb11_
